month,category,limit
2024-04,Vivienda,800000
2024-04,Transporte,250000
2024-04,Comida,700000
2024-04,Servicios,350000
2024-04,Salud,200000
2024-04,Educación,300000
2024-04,Ocio,250000
2024-04,Compras,400000
2024-04,Suscripciones,60000
2024-04,Otros,150000
2024-05,Vivienda,800000
2024-05,Transporte,250000
2024-05,Comida,700000
2024-05,Servicios,350000
2024-05,Salud,200000
2024-05,Educación,300000
2024-05,Ocio,250000
2024-05,Compras,400000
2024-05,Suscripciones,60000
2024-05,Otros,150000
2024-06,Vivienda,800000
2024-06,Transporte,250000
2024-06,Comida,700000
2024-06,Servicios,350000
2024-06,Salud,200000
2024-06,Educación,300000
2024-06,Ocio,250000
2024-06,Compras,400000
2024-06,Suscripciones,60000
2024-06,Otros,150000
2024-07,Vivienda,800000
2024-07,Transporte,250000
2024-07,Comida,700000
2024-07,Servicios,350000
2024-07,Salud,200000
2024-07,Educación,300000
2024-07,Ocio,250000
2024-07,Compras,400000
2024-07,Suscripciones,60000
2024-07,Otros,150000
2024-08,Vivienda,800000
2024-08,Transporte,250000
2024-08,Comida,700000
2024-08,Servicios,350000
2024-08,Salud,200000
2024-08,Educación,300000
2024-08,Ocio,250000
2024-08,Compras,400000
2024-08,Suscripciones,60000
2024-08,Otros,150000
2024-09,Vivienda,800000
2024-09,Transporte,250000
2024-09,Comida,700000
2024-09,Servicios,350000
2024-09,Salud,200000
2024-09,Educación,300000
2024-09,Ocio,250000
2024-09,Compras,400000
2024-09,Suscripciones,60000
2024-09,Otros,150000
2024-10,Vivienda,800000
2024-10,Transporte,250000
2024-10,Comida,700000
2024-10,Servicios,350000
2024-10,Salud,200000
2024-10,Educación,300000
2024-10,Ocio,250000
2024-10,Compras,400000
2024-10,Suscripciones,60000
2024-10,Otros,150000
2024-11,Vivienda,800000
2024-11,Transporte,250000
2024-11,Comida,700000
2024-11,Servicios,350000
2024-11,Salud,200000
2024-11,Educación,300000
2024-11,Ocio,250000
2024-11,Compras,400000
2024-11,Suscripciones,60000
2024-11,Otros,150000
2024-12,Vivienda,800000
2024-12,Transporte,250000
2024-12,Comida,700000
2024-12,Servicios,350000
2024-12,Salud,200000
2024-12,Educación,300000
2024-12,Ocio,250000
2024-12,Compras,400000
2024-12,Suscripciones,60000
2024-12,Otros,150000
2025-01,Vivienda,800000
2025-01,Transporte,250000
2025-01,Comida,700000
2025-01,Servicios,350000
2025-01,Salud,200000
2025-01,Educación,300000
2025-01,Ocio,250000
2025-01,Compras,400000
2025-01,Suscripciones,60000
2025-01,Otros,150000
2025-02,Vivienda,800000
2025-02,Transporte,250000
2025-02,Comida,700000
2025-02,Servicios,350000
2025-02,Salud,200000
2025-02,Educación,300000
2025-02,Ocio,250000
2025-02,Compras,400000
2025-02,Suscripciones,60000
2025-02,Otros,150000
2025-03,Vivienda,800000
2025-03,Transporte,250000
2025-03,Comida,700000
2025-03,Servicios,350000
2025-03,Salud,200000
2025-03,Educación,300000
2025-03,Ocio,250000
2025-03,Compras,400000
2025-03,Suscripciones,60000
2025-03,Otros,150000
2025-04,Vivienda,800000
2025-04,Transporte,250000
2025-04,Comida,700000
2025-04,Servicios,350000
2025-04,Salud,200000
2025-04,Educación,300000
2025-04,Ocio,250000
2025-04,Compras,400000
2025-04,Suscripciones,60000
2025-04,Otros,150000
2025-05,Vivienda,800000
2025-05,Transporte,250000
2025-05,Comida,700000
2025-05,Servicios,350000
2025-05,Salud,200000
2025-05,Educación,300000
2025-05,Ocio,250000
2025-05,Compras,400000
2025-05,Suscripciones,60000
2025-05,Otros,150000
2025-06,Vivienda,800000
2025-06,Transporte,250000
2025-06,Comida,700000
2025-06,Servicios,350000
2025-06,Salud,200000
2025-06,Educación,300000
2025-06,Ocio,250000
2025-06,Compras,400000
2025-06,Suscripciones,60000
2025-06,Otros,150000
